text,label,intent_name
Please explain to me the process of getting a virtual card.,40,getting_virtual_card
Can you walk me through how I can edit some of my personal information?,30,edit_personal_details
Is this card available to United States Residents?,24,country_support
I have a duplicate payment on my card.,63,transaction_charged_twice
Explain how to verify my identity?,69,verify_my_identity
"There is a direct debit that I didn't set up, what should I do?",28,direct_debit_payment_not_recognised
Why did I get a fee for getting cash?,19,cash_withdrawal_charge
I need to know where I can withdraw money.,3,atm_support
The seller of the items I bought online the other day hasn't received the EU transfer yet. How long do these usually take?,48,pending_transfer
How long does it take for my id to verify?,68,unable_to_verify_identity
I have an outgoing transaction,48,pending_transfer
There is no way for me to prove my identity.,68,unable_to_verify_identity
It appears my top-up is still pending.,47,pending_top_up
"I went for a meal in Seattle and paid the bill but I think they charged me twice, the first time they swiped the card I got a notification to say the money had gone out the account but then I added a tip and I think they swiped it all again. Can you refund one of the charges?",63,transaction_charged_twice
My card payment still pending,45,pending_card_payment
"I need to know this, where do my funds come from?",70,verify_source_of_funds
Where Is the top up verification code found?,71,verify_top_up
The funds I transferred are not in my account,5,balance_not_updated_after_bank_transfer
i haven't received my order and want a refund,52,request_refund
What do I need to do in order to get a new card?,43,order_physical_card
I have a transfer waiting.,48,pending_transfer
How much would I be charged for a transfer?,56,top_up_by_bank_transfer_charge
where can i located the auto top up function?,4,automatic_top_up
I need to change my personal details in my account.,30,edit_personal_details
The app says I made a cash withdrawal even though I didn't.,20,cash_withdrawal_not_recognised
How do I order a new card? The current one is about to expire.,9,card_about_to_expire
Which countries can I change my PIN in?,21,change_pin
"I purchased something and the seller hasn't received the money yet, but it has been deducted from my account.",53,reverted_card_payment?
Where can I withdraw money from?,3,atm_support
Visa and Mastercard can both be received from you?,73,visa_or_mastercard
"I no longer want this account, what should I do?",55,terminate_account
Can i make several disposable cardsper day?,29,disposable_card_limits
I'm still waiting for my transaction.,66,transfer_not_received_by_recipient
I need help right now. I realize I sent my payment to the wrong account number after making a typo. Please cancel the transfer now since I can't do it from the app.,8,cancel_transfer
My salary is deposited in GBP. Do I need to choose the currency?,50,receiving_money
How long does it take for money to transfer?,5,balance_not_updated_after_bank_transfer
My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,46,pending_cash_withdrawal
"Good day, in reviewing my credit card activity over the last several days, I see a repeated charge for a restaurant that I went to. The charge was put through twice, so I would like one of the charges corrected and the amount that was withdrawn to be reinstated please.",63,transaction_charged_twice
How do I get my card active?,0,activate_my_card
"A transfer I sent was received in less than the full amount I originally sent, and now I have to send additional funds to cover the full amount. What happened?",64,transfer_fee_charged
Where is the nearest Mastercard ATM?,3,atm_support
Mastercard is my preferred company.,73,visa_or_mastercard
I transferred some cash and it has not arrived yet.,66,transfer_not_received_by_recipient
Do top-ups have limits?,60,top_up_limits
want to know where funds come from,70,verify_source_of_funds
How can I the person see my money transaction?,66,transfer_not_received_by_recipient
Please verify my source of funds.,70,verify_source_of_funds
I can't see my refund in my history.,51,Refund_not_showing_up
The ATM keeps rejecting my Payment. I tried two different ATMs but did not work .Can you please check if everything is okay with my account?,26,declined_cash_withdrawal
Where are your cards delivered to?,43,order_physical_card
why is top up pending,47,pending_top_up
Someone besides me might be using my card.,22,compromised_card
When will I get a virtual card? I haven't gotten one yet,40,getting_virtual_card
What do I do if my PIN was blocked?,49,pin_blocked
Am I the only one who can top-up my account?,62,topping_up_by_card
Will I be charged a fee for a SEPA transfer?,56,top_up_by_bank_transfer_charge
wheres my money receipt,66,transfer_not_received_by_recipient
What are you exchange rates?,32,exchange_rate
I didn't receive the amount of cash I requested for the ATM.,75,wrong_amount_of_cash_received
Please cancel my last transaction.,8,cancel_transfer
What happened! I asked for 30 pounds at your ATM and only go 10. The machine lied about it too. It said I received the full 30 pounds. Someone better help me asap on this.,75,wrong_amount_of_cash_received
when will the balance on my account change form a transfer,5,balance_not_updated_after_bank_transfer
Can I transfer my salary onto here?,50,receiving_money
Why am I seeing a transfer fee on my bank statement?,64,transfer_fee_charged
Can I do more than 10 transactions with a disposable card?,29,disposable_card_limits
My top-up is still pending,47,pending_top_up
How quickly can you get me my card?,12,card_delivery_estimate
I do not recognize the card payment.,16,card_payment_not_recognised
Will you be adding more currencies in the future?,36,fiat_currency_support
After my card expires what should I do?,9,card_about_to_expire
Looking at my statement I see that I was double charged for a payment I made.,63,transaction_charged_twice
what cards and currencies are accepted?,54,supported_cards_and_currencies
My app was on the phone and I was mugged.  What do I do?,42,lost_or_stolen_phone
Why is there a direct debit set up in my name?,28,direct_debit_payment_not_recognised
Is it possible to get a card outside the UK?,24,country_support
Do you charge anything for topping up?,56,top_up_by_bank_transfer_charge
I really need some help to understand why my transfer keeps failing. I'm trying to send money to a friend. Please help.,35,failed_transfer
Do I need to order a new card before it expires?,9,card_about_to_expire
"I no longer need AUD, I need GBP instead, how can I make this happen?",33,exchange_via_app
I got cash abroad and the exchange rate applied is wrong,76,wrong_exchange_rate_for_cash_withdrawal
What do I do if I can't access the app?,42,lost_or_stolen_phone
"A card has been sent to me, how do I track it?",11,card_arrival
What do I do?  My card is broken.,14,card_not_working
What do I need to do to get my new card which I have requested 2 weeks ago?,11,card_arrival
how long are my top ups pending,47,pending_top_up
Why can I not do a  transfer,7,beneficiary_not_allowed
Cancel a transaction,8,cancel_transfer
I am still waiting for a the cash I deposited this morning,6,balance_not_updated_after_cheque_or_cash_deposit
I bought an item at the wrong exchange rate.,17,card_payment_wrong_exchange_rate
"There was money taken out of my account, and I'm pretty sure I didn't do it.",20,cash_withdrawal_not_recognised
Help me delete my account.  I am not satisfied with the service.,55,terminate_account
what is my monthly spending limit because i was refused my money at an atm,26,declined_cash_withdrawal
What should I do if I see a withdrawal is pending?,46,pending_cash_withdrawal
Do I need to do anything? My phone was stolen yesterday.,42,lost_or_stolen_phone
Where is the verification code display?,71,verify_top_up
"While I was drunk, I goofed my PIN number and your machine ate my card. How can I get it back?",49,pin_blocked
May I order another card?,39,getting_spare_card
"I need to make a purchase online, where is my virtual card?",40,getting_virtual_card
How do I deactivate a stolen card?,41,lost_or_stolen_card
Exchange rate on a purchase was incorrect,17,card_payment_wrong_exchange_rate
How long does a transfer take?,48,pending_transfer
"I think someone saw my PIN and I am on vacation in Spain, can I change it locally at an ATM?",21,change_pin
The cash abroad exchange rate is applied wrong.,76,wrong_exchange_rate_for_cash_withdrawal
What US credit cards do you accept?,54,supported_cards_and_currencies
Why did I get charged one pound seemingly randomly?,34,extra_charge_on_statement
Please give me a Mastercard instead.,73,visa_or_mastercard
Can I receive money in a different countries money?,50,receiving_money
The exchange rate for my cash withdrawal was incorrect,76,wrong_exchange_rate_for_cash_withdrawal
I'm still waiting for the top-up!,47,pending_top_up
There is a payment that I was charged two times for.,63,transaction_charged_twice
Why did the bank reject my transfer?,35,failed_transfer
I had a payment reverted and would like to figure out why.,53,reverted_card_payment?
Someone else accessed my account and made a payment.,16,card_payment_not_recognised
My card did not work at store.,25,declined_card_payment
If I don't have much money in the account can I auto top-up?,4,automatic_top_up
Can I put my old card back in the app?,13,card_linking
I used my pin too many times.,49,pin_blocked
What is the maximum number of transactions that I can put on a disposable card?,29,disposable_card_limits
"Someone has access to my card info.  I still have the card, but someone just withdrew cash.  How do I get this corrected/stopped?!",20,cash_withdrawal_not_recognised
What is the disposable card for?,37,get_disposable_virtual_card
I can't get money out of the ATM. Is my card actually working? It's the first time I tried using it,26,declined_cash_withdrawal
May I get one of your cards?  I live in the EU.,24,country_support
What is the estimated wait time for transfers from the US?,67,transfer_timing
What type of fiat currencies do you support?,36,fiat_currency_support
I don't have my cell phone with me so I cannot access the system to complete the transaction.,42,lost_or_stolen_phone
Why am I missing my refund,51,Refund_not_showing_up
Why is there a charged fee for debit or credit card payment?,15,card_payment_fee_charged
Why is my transfer pending when I already made it?,48,pending_transfer
I didn't make this payment and it's on my app,16,card_payment_not_recognised
I used an ATM and there was an extra charge.,19,cash_withdrawal_charge
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,17,card_payment_wrong_exchange_rate
I attempted to get cash in the ATM but it was not authorized,26,declined_cash_withdrawal
"After I attempted a transfer, it failed.",35,failed_transfer
"I was wondering, Can I get my pay in another currency?",50,receiving_money
I want to close my account. The service you provide is unsatisfactory to me.,55,terminate_account
how can i get it to add money automatically while travelling,4,automatic_top_up
I've forgotten my app passcode completely.,44,passcode_forgotten
Is it possible to get a second card for my daughter?,39,getting_spare_card
I need to find the card I received in the app.,13,card_linking
I have not received my pin yet,38,get_physical_card
Can I go ahead and use my account even though my identify hasn't been verified yet?,74,why_verify_identity
My top-up hasn't happened yet.,47,pending_top_up
I topped up about half an hour ago and the charge is still pending. I'm a new customer and today is my first time doing this. Can you fix it? It doesn't seem to be working.,47,pending_top_up
Can someone please explain to me where my source of funds came from?,70,verify_source_of_funds
When will I receive a transfer from europe?,67,transfer_timing
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you remove one of them as it's wrong and clearly was declined?",63,transaction_charged_twice
i need to know about exchange rates,32,exchange_rate
Is there a reason to why I was charged twice for a transaction?,63,transaction_charged_twice
I think that the exchange rate was wrong for the payment made last Saturday - I was charged extra.,17,card_payment_wrong_exchange_rate
How can I deposit money to my account?,65,transfer_into_account
Show me where I can see the PIN?,38,get_physical_card
The purchase I made is still pending.,45,pending_card_payment
How is my PIN sent?,38,get_physical_card
The refund I asked for isn't showing up,51,Refund_not_showing_up
I require verification of my source of funds.,70,verify_source_of_funds
"Hae, I already completed my 3D secure authentication when I tried the crypto top up but it's still not working for me. I also don't understand what happened to the money in my account",61,top_up_reverted
My purchases from this morning are showing up as payment pending. Can you tell me why?,45,pending_card_payment
Can I transfer my salary if its in GBP?,50,receiving_money
I couldnt transfer money from my account.,35,failed_transfer
I'm confused as to why my top-up did not go through.,59,top_up_failed
"Can I get a physical card for free, or is there a charge?",43,order_physical_card
What's the normal time frame for a transfer from a UK account? After just making a transfer it doesn't appear at all. I need to know if things went okay.,5,balance_not_updated_after_bank_transfer
I am not satisfied with your company.  Close my account.,55,terminate_account
How can I reset my darned PIN number?,49,pin_blocked
Why is the payment showing as pending from things I bought this morning?,45,pending_card_payment
I could not use my card in a store.,25,declined_card_payment
I have a cash withdrawal in my statement. Why is that?,20,cash_withdrawal_not_recognised
I am inquiring about a $1 charge on my statement.,34,extra_charge_on_statement
Can someone else use my account if they have my phone?  I lost mine.,42,lost_or_stolen_phone
"Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?",46,pending_cash_withdrawal
"I needed to make a payment on my account, but I typed in the incorrect number.  The app won't allow me to cancel this transaction.  I need it cancelled ASAP!!",8,cancel_transfer
My card is about to expire.  Are there any costs with a replacement card?  How quick do you mail it to me?,9,card_about_to_expire
Is it possible for me to top up with Google Pay?,2,apple_pay_or_google_pay
"I desperately need to top-up my card, so why is it being declined? Can you solve this for me? I need to use my card immediately!",59,top_up_failed
"My card arrived but I need to make it work in the app, how do I do that?",13,card_linking
Can I get a card in the EU?,24,country_support
Any extra charges for exchanging currencies?,31,exchange_charge
"I got mugged yesterday and they took everything. I can't use the app, so I need some help.",42,lost_or_stolen_phone
Can you explain to me why a cash withdrawal shows up as pending?,46,pending_cash_withdrawal
I got a new address and need to change my old one.,30,edit_personal_details
I have a direct debit I didn't set up,28,direct_debit_payment_not_recognised
I did a cash deposit to my account but it doesn't show up,6,balance_not_updated_after_cheque_or_cash_deposit
What went wrong with my transfer?,27,declined_transfer
"Hello, I trying to top up with my card today but it didn't work. When I tried last time it worked but today it isn't. Could you take a look at it for me?",59,top_up_failed
My address is incorrect on my file.,30,edit_personal_details
Where can I see where funds came from?,70,verify_source_of_funds
Why was a fee changed for my transfer?,64,transfer_fee_charged
Where can I find how to change my name?,30,edit_personal_details
"If I exchange currencies on a regular basis, is there a discount?",31,exchange_charge
How can I replace an expired card?,9,card_about_to_expire
When will my payment go through?,45,pending_card_payment
Is my daughter eligible to open an account?,1,age_limit
How much does top up fees cost?,57,top_up_by_card_charge
The card payment I made didn't work.,25,declined_card_payment
My card arrived but I don't know how to get my PIN.,38,get_physical_card
I think I am having an issue with withdraws on my card. It was declined on the way to work this morning. This hasn't happened in the past.,26,declined_cash_withdrawal
What should I do if my card is stolen?,41,lost_or_stolen_card
My card payment didn't go through.,25,declined_card_payment
Why hasn't my balance been updated from the check deposit I made?,6,balance_not_updated_after_cheque_or_cash_deposit
I don't have my passcode to access the app.,44,passcode_forgotten
My transaction is on the wrong account.,8,cancel_transfer
"Please help me, as my topup amount has been reverted, i did it correctly. I think there is some defect in system.",61,top_up_reverted
I tried to use my card today in the restaurant but it didn't work and just got declined. What's wrong?,14,card_not_working
I need info on activating my card?,0,activate_my_card
How can I top up my account by bank transfer?,65,transfer_into_account
I just got my new card and tried using it and it was declined?,25,declined_card_payment
"I used my card to make a payment a while ago and its still pending, Why is it taking so long?",45,pending_card_payment
Why was there a transfer fee on my account?,64,transfer_fee_charged
This exchange rate on my purchase is wrong.,17,card_payment_wrong_exchange_rate
Which countries are represented?,24,country_support
How do I link my new card?,13,card_linking
I don't see me 'top up' in my wallet,62,topping_up_by_card
How long does it take for a cash withdrawal to show?,46,pending_cash_withdrawal
"I want to top up by transfering accounts, What do I do?",65,transfer_into_account
on my statement there is a payment that I don't recognise,16,card_payment_not_recognised
Why is my ATM withdrawal still pending?,46,pending_cash_withdrawal
why am I being charged a fee for transferring money ?,64,transfer_fee_charged
I am waiting for a payment to be processed,45,pending_card_payment
I thought I was going to receive more currency?,76,wrong_exchange_rate_for_cash_withdrawal
I would like to know what the restrictions are for the disposable cards.,29,disposable_card_limits
Is there a fee to top up a US card using a debit or credit card?,57,top_up_by_card_charge
Please delete my account and personal information.,55,terminate_account
"I topped up and went to buy something, but it says that my funds are pending. Is there a way to quicken this process?",47,pending_top_up
I want to use a payment card to top up my account. How can I do this?,54,supported_cards_and_currencies
"There's a payment with my card that I definitely didn't do myself, never seen that name before.",16,card_payment_not_recognised
I've got a repeated tranasaction on my card.,63,transaction_charged_twice
"I sent a payment, but the person I sent it to says they don't have it",66,transfer_not_received_by_recipient
Why is it required to verify my identity?,74,why_verify_identity
Is it possible to access my phone from the hotel/,42,lost_or_stolen_phone
I wish to top up using a cheque.,58,top_up_by_cash_or_cheque
Is there an issue with my card payment as it has not gone through.,25,declined_card_payment
Can I already use my account although the identity verification has not passed yet?,74,why_verify_identity
Why is my withdrawal wrong? I took out $100 but only received $20.,75,wrong_amount_of_cash_received
Why was there an extra charge because I used my card to pay?,15,card_payment_fee_charged
I want to transfer money into my account,65,transfer_into_account
Is it free to transfer money or is there a fee?,64,transfer_fee_charged
Where do my funds originate from?,70,verify_source_of_funds
I got $20 when I should've gotten $100,75,wrong_amount_of_cash_received
totally unacceptable.  I'm stranded with no cash because the ATM wouldn't give me any money!,26,declined_cash_withdrawal
What is the process to activate a card,0,activate_my_card
The app failed to verify my id.,68,unable_to_verify_identity
"I thought transfers were free, why was I charged?",64,transfer_fee_charged
What happens when I money transaction doesn't show up on the receiving side?,66,transfer_not_received_by_recipient
Is there a place to check for fee for payments? I feel like I'm getting charged too much at times.,15,card_payment_fee_charged
How do I shut down my account and get out of this company?,55,terminate_account
Will you accept my credit card?,54,supported_cards_and_currencies
"Using Google Pay, can I top up?",2,apple_pay_or_google_pay
I seem to have lost my card.,41,lost_or_stolen_card
Where do I order additional cards?,39,getting_spare_card
A payment in my account was made by someone I don't know,16,card_payment_not_recognised
How do I access the virtual card?,40,getting_virtual_card
Is it possible for a friend to personally send me a payment?,50,receiving_money
After making a transfer from a UK account it's not showing up. How long do these transfers normally take for you? I want to be certain everything is all right.,5,balance_not_updated_after_bank_transfer
How can my friends top up my account?,62,topping_up_by_card
What's the process for topping up my card?,62,topping_up_by_card
how much is it to exchange currency,31,exchange_charge
When will the cash that I put in the ATM be cleared from pending status?,46,pending_cash_withdrawal
"I received my new card and tried using it today, just to have it show declined over and over again.  Why is this happening?",25,declined_card_payment
"I am unable to activate my card, it won't let me.",0,activate_my_card
How can I cancel my transfer?,8,cancel_transfer
Why am I unable to withdrawal cash?,26,declined_cash_withdrawal
I did not receive the correct amount of cash.,75,wrong_amount_of_cash_received
I can not find my refund.,51,Refund_not_showing_up
A transaction to a friend still hasn't shown up.,66,transfer_not_received_by_recipient
I can't enter my passcode.,44,passcode_forgotten
Why can I not choose the card i want?,73,visa_or_mastercard
How long will it take to receive a virtual card?,40,getting_virtual_card
Are top-ups unlimited?,60,top_up_limits
What is the cost for physical cards?,43,order_physical_card
I contacted the seller for a direct refund last week but he still hasn't give me my money. What should I do?,51,Refund_not_showing_up
Why did I only receive a partial amount of what I tried to withdraw?,75,wrong_amount_of_cash_received
It appears my transfer was declined.,27,declined_transfer
How can I find out why my transfer didn't go through?,35,failed_transfer
How do I begin the process of a refund?,52,request_refund
I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this?,15,card_payment_fee_charged
"who do I talk to, to cancel a transfer?",8,cancel_transfer
How can a payment be declined,25,declined_card_payment
"Hi! I'm a university student studying abroad and I noticed that when I was trying to cross-reference my budget for this month that there were extra fees I was not expecting. Why is that? I've had this account for years and I haven't had any trouble so far, it might not even be on your all's end since I'm still new to international travel and finance, but I wanted to double check in case a mistake was made!",64,transfer_fee_charged
How dp i top up with a cheque ?,58,top_up_by_cash_or_cheque
"my card payment has been declined, do you know why?",25,declined_card_payment
Can you tell me the limit for top ups?,60,top_up_limits
How do I know where the funds come from?,70,verify_source_of_funds
I need to cancel my recent transfer. I made a mistake. Please help quickly before the transfer goes through.,8,cancel_transfer
can i go into my app to find my pin,38,get_physical_card
I bought something with my card and I was charged a fee,15,card_payment_fee_charged
"i need a refund from you because the merchant is refusing, can you do that?",51,Refund_not_showing_up
Can I open an account for my offspring?,1,age_limit
"I tried to get money out of the Notting Hill ATM earlier, but I wasn't able to get it to work. Is my card with issue? It's the first time I tried using it.",26,declined_cash_withdrawal
I am having trouble with the app recognizing me.,68,unable_to_verify_identity
i noticed that the funds were returned to my bank account. What happened?,61,top_up_reverted
I would like to have a Mastercard.,73,visa_or_mastercard
My daughter needs an acount.,1,age_limit
My top-up failed to go through.,59,top_up_failed
I would like a second card.,39,getting_spare_card
What are some of the restrictions that the disposable cards have?,29,disposable_card_limits
"I need multiple cards per day, and they all have to be disposable.",29,disposable_card_limits
Help me verify my identify?,68,unable_to_verify_identity
"I need to transfer something ASAP from China, how long will it take to post to my account?",67,transfer_timing
I don't want to use this method to identify myself.,74,why_verify_identity
Is it possible to get one of your cards in the European Union?,24,country_support
"I have used all my PIN tries, what now?",49,pin_blocked
Why was I declined from getting cash?,26,declined_cash_withdrawal
"Hurry and refund me, I am waiting",51,Refund_not_showing_up
Can I add money to top up my account via a bank transfer?,65,transfer_into_account
Do you deal with EUR?,36,fiat_currency_support
I am looking to delete my account. I'm not happy with the service provided by you.,55,terminate_account
How old can one use your service?,1,age_limit
I tried activation my card and it didn't employment,0,activate_my_card
"I think there may be something wrong with my card. I have never had issues with withdraws before, but this morning on the way to work it was suddenly declined.",26,declined_cash_withdrawal
Where is a Mastercard ATM?,3,atm_support
Does it matter if I use Visa or Mastercard?,73,visa_or_mastercard
What is the estimated wait time on a US transfer into my account?,67,transfer_timing
Why is the fee for taking money out so high?  I feel I was overcharged and I would have never used this ATM if I would have known ahead of time.,76,wrong_exchange_rate_for_cash_withdrawal
is my pin the same as my passcode,38,get_physical_card
How do I report a cash withdrawal that wasn't me?,20,cash_withdrawal_not_recognised
Where do my fund come from?,70,verify_source_of_funds
Are there any restrictions for the disposable cards that I need to be aware of?,29,disposable_card_limits
What if I want to add a card I already have to the app?,13,card_linking
My top is still pending.,47,pending_top_up
Do you support all countries?,24,country_support
How do I know when my card will expire?,9,card_about_to_expire
how to exchange currencies,33,exchange_via_app
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",13,card_linking
Why didn't this transfer work?,35,failed_transfer
When will I receive the card?,12,card_delivery_estimate
What are then rules on beneficiaries?,7,beneficiary_not_allowed
My virtual card isn't working.,72,virtual_card_not_working
Can I change my address?,30,edit_personal_details
Tell me if there is a top-up limit.,60,top_up_limits
"While getting cash, I was charged a fee.",19,cash_withdrawal_charge
Is there a fee for adding funds with a credit card?,57,top_up_by_card_charge
I'm panicking!  I lost my card!  Help!,41,lost_or_stolen_card
Did you revert my top up?,61,top_up_reverted
Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account?,8,cancel_transfer
At what age can a person open an account?,1,age_limit
I punched in the wrong pin too many times and I'm locked out.,49,pin_blocked
My card payment has been on pending forever. What is the problem? It should have gone through at some time by now.,45,pending_card_payment
I don't know how to verify my identity.,69,verify_my_identity
Would it be possible to activate my card?,0,activate_my_card
What should I do if my passcode won't work?,44,passcode_forgotten
What do I do if I forgot my passcode?,44,passcode_forgotten
It looks like my card payment might have been reverted.,53,reverted_card_payment?
How do I top-up my card with a cheque?,58,top_up_by_cash_or_cheque
I want to cancel a transaction.,8,cancel_transfer
"how long does it take to transfer money, my retailer is waiting",66,transfer_not_received_by_recipient
"Hi there, I came across a problem with my top up and my money is missing, was there a system error?",61,top_up_reverted
Could I get a mastercard if that's reasonable?,73,visa_or_mastercard
Will I be sent a new card before mine expires?,9,card_about_to_expire
My credit card did not go through. Can you see if it has insufficient funds?,59,top_up_failed
which identity details are required,74,why_verify_identity
I need help proving that this is really me and to verify my identity.,68,unable_to_verify_identity
What is the current exchange rate?,32,exchange_rate
"My transfer is quite urgent, and finally worked out, but I've been waiting for it for quite some time. Can you tell me how long to expect to wait for it?",48,pending_transfer
"I usually don't get charged for transfers, why was I this month?",64,transfer_fee_charged
I want to get a refund.,52,request_refund
Why am I unable to withdraw money even though in the past I've done it just fine?,26,declined_cash_withdrawal
Can I add to my account using a cheque?,58,top_up_by_cash_or_cheque
I received a returned payment that I made.,53,reverted_card_payment?
Can you tell me why my top-up was canceled?,61,top_up_reverted
I was wrongfully charged one pound.,34,extra_charge_on_statement
I was charged $1 in a transaction.,34,extra_charge_on_statement
Why was my top up reverted?,61,top_up_reverted
What are the restrictions on the virtual cards?,29,disposable_card_limits
I don't see any change in my balance.,5,balance_not_updated_after_bank_transfer
